,Crimes by Premise Type,Crimes by Zip Code,Crimes by Year,Percentage Change in Crimes by Year
ABANDONED/CONDEMNED STRUCTURE,176.0,,,
ADULT ONLY STORE / MOVIE,178.0,,,
AIRPORT,2123.0,,,
ALLEY,1124.0,,,
AMUSEMENT PARK,109.0,,,
APARTMENT,61047.0,,,
ARENA / STADIUM / CONVENTION CENTER,209.0,,,
ATM SEPARATE FROM BANK,83.0,,,
AUTO DEALERSHIP NEW/USED,1081.0,,,
BANK / SAVINGS / CREDIT UNION,845.0,,,
BAR / LOUNG / NIGHT CLUB,1775.0,,,
BUS,618.0,,,
BUS / LIGHT RAIL,43.0,,,
BUS / RAIL STATION,64.0,,,
BUS FACILITY,49.0,,,
BUS STATION,204.0,,,
BUS STOP,2459.0,,,
CAMP/CAMPGROUND,28.0,,,
CANAL / RIGHT-OF-WAY,387.0,,,
CARPORT,1473.0,,,
CHILD CARE / DAY CARE,263.0,,,
CHURCH / SYNAGOGUE / TEMPLE / MOSQUE,1383.0,,,
COMMUNITY CENTER,302.0,,,
CONDO / TOWNHOUSE,5443.0,,,
CONSTRUCTION SITE,1857.0,,,
CONVENIENCE MARKET / STORE,19746.0,,,
CYBERSPACE,88.0,,,
DEPARTMENT / DISCOUNT STORE,22000.0,,,
DOCK/WHARF/FREIGHT/MODAL TERMINAL,74.0,,,
DRIVE-IN MOVIE,54.0,,,
DRIVEWAY,17889.0,,,
DRUG STORE,5821.0,,,
EASEMENT,61.0,,,
FARM FACILITY,25.0,,,
FAST FOOD STORE,2672.0,,,
FENCED COMMERCIAL YARD,5718.0,,,
FENCED RESIDENTIAL YARD,3237.0,,,
FIELD/WOODS,126.0,,,
FOJ - PREMISE UNKNOWN,46.0,,,
GAMBLING FACILITY/CASINO/RACE TRACK,19.0,,,
GARAGE,2881.0,,,
GARAGE / CARPORT,1139.0,,,
GAS / SERVICE STATION,6176.0,,,
GOVERNMENT / PUBLIC BUILDING,1047.0,,,
GROCERY / SUPER MARKET,11136.0,,,
GROUP HOME,928.0,,,
HOSPITAL,1632.0,,,
HOSPITIAL / NURSING CARE,214.0,,,
HOTEL / MOTEL,7484.0,,,
INDUSTRIAL SITE,253.0,,,
JAIL / PRISON / PENITENTIARY,139.0,,,
LAKE / WATERWAY / BEACH,7.0,,,
LIGHT RAIL,123.0,,,
LIGHT RAIL FACILITY,86.0,,,
LIGHT RAIL PLATFORM,485.0,,,
